,Fitting Poly,Relevance,Regression Sum of Squares,Residual Sum of Squares,Total Sum of Squares
6,"            6             5           4         3         2
-3.813e-07 x + 0.0002123 x - 0.04199 x + 3.615 x - 129.7 x + 1662 x - 4386",0.7261506769853567,12849467041.28227,4845850815.649705,17695317856.931812
7,"            7            6            5          4         3         2
-3.725e-08 x + 1.67e-05 x - 0.002882 x + 0.2386 x - 9.664 x + 179.2 x - 1243 x + 1719",0.7544823865020661,13350805646.6056,4344512210.321273,17695317856.931812
8,"           8            7             6            5          4
2.267e-10 x - 1.56e-07 x + 4.209e-05 x - 0.005726 x + 0.4168 x
          3         2
 - 15.83 x + 287.4 x - 2021 x + 2947",0.7556255393787705,13371034100.132072,4324283756.808923,17695317856.931812
9,"           9             8             7             6           5
2.096e-11 x - 1.213e-08 x + 2.888e-06 x - 0.0003642 x + 0.02608 x
          4         3         2
 - 1.061 x + 23.39 x - 250.4 x + 1020 x - 751.2",0.76625113981951,13559057477.466557,4136260379.5892835,17695317856.931812
10,"            10             9             8             7            6
-3.514e-13 x  + 2.511e-10 x - 7.635e-08 x + 1.284e-05 x - 0.001301 x
            5        4         3         2
 + 0.08098 x - 3.04 x + 65.07 x - 709.5 x + 3111 x - 2742",0.769492281823476,13616410515.418877,4078907341.6096506,17695317856.931812
11,"            11             10             9             8             7
-2.425e-14 x  + 1.712e-11 x  - 5.196e-09 x + 8.855e-07 x - 9.297e-05 x
             6          5         4         3         2
 + 0.006212 x - 0.2639 x + 6.931 x - 105.8 x + 835.1 x - 2660 x + 1613",0.78622796700825,13912553790.964705,3782764072.7115297,17695317856.931812
12,"            12             11             10             9
-2.069e-16 x  + 1.384e-13 x  - 3.889e-11 x  + 5.907e-09 x
              8             7             6           5         4
 - 5.138e-07 x + 2.391e-05 x - 0.0003311 x - 0.02115 x + 1.164 x
          3         2
 - 23.75 x + 215.7 x - 732.3 x + 449.6",0.7875459335333498,13935875621.294138,3759442236.125093,17695317856.931812
13,"           13             12             11             10
2.221e-18 x  - 2.098e-15 x  + 8.516e-13 x  - 1.957e-10 x 
              9             8             7            6          5
 + 2.819e-08 x - 2.657e-06 x + 0.0001658 x - 0.006793 x + 0.1773 x
          4         3         2
 - 2.784 x + 23.68 x - 87.46 x + 63.76 x + 63.35",0.7877099481360502,13938777921.278078,3756539945.5971313,17695317856.931812
14,"            14             13            12            11
-1.504e-19 x  + 1.401e-16 x  - 5.86e-14 x  + 1.45e-11 x 
              10             9             8            7           6
 - 2.356e-09 x  + 2.634e-07 x - 2.067e-05 x + 0.001141 x - 0.04374 x
          5         4         3         2
 + 1.134 x - 18.97 x + 190.1 x - 999.4 x + 2107 x - 736.5",0.7885202264174949,13953116091.30404,3742201813.8543987,17695317856.931812
15,"            15             14             13             12
-3.281e-21 x  + 3.074e-18 x  - 1.287e-15 x  + 3.171e-13 x 
              11             10             9             8
 - 5.101e-11 x  + 5.614e-09 x  - 4.304e-07 x + 2.294e-05 x
              7           6          5         4         3         2
 - 0.0008331 x + 0.01965 x - 0.2707 x + 1.511 x + 7.863 x - 134.1 x + 436.9 x - 208.3",0.7889354845659198,13960464809.223482,3734853688.925339,17695317856.931812
16,"           16             15            14             13
2.568e-22 x  - 2.724e-19 x  + 1.31e-16 x  - 3.775e-14 x 
              12             11            10             9
 + 7.267e-12 x  - 9.856e-10 x  + 9.68e-08 x  - 6.968e-06 x
              8           7          6         5         4         3
 + 0.0003679 x - 0.01412 x + 0.3867 x - 7.316 x + 91.03 x - 688.1 x
         2
 + 2756 x - 4410 x + 1029",0.7916677536959028,14008815974.26548,3686505318.1996074,17695317856.931812
17,"           17           16             15             14             13
1.191e-23 x  - 1.3e-20 x  + 6.464e-18 x  - 1.936e-15 x  + 3.897e-13 x 
              12             11             10             9
 - 5.572e-11 x  + 5.826e-09 x  - 4.522e-07 x  + 2.618e-05 x
             8           7          6         5         4         3
 - 0.001126 x + 0.03556 x - 0.8076 x + 12.76 x - 133.3 x + 849.5 x
         2
 - 2875 x + 3859 x - 670.7",0.797965416233559,14120275988.990015,3575066177.8400893,17695317856.931812
18,"           18             17             16             15
2.135e-25 x  - 2.398e-22 x  + 1.231e-19 x  - 3.826e-17 x 
             14             13             12             11
 + 8.04e-15 x  - 1.209e-12 x  + 1.342e-10 x  - 1.118e-08 x 
              10            9            8           7          6
 + 7.055e-07 x  - 3.37e-05 x + 0.001212 x - 0.03235 x + 0.6276 x
          5         4         3        2
 - 8.558 x + 77.92 x - 436.9 x + 1311 x - 1563 x + 223.3",0.8001295821202832,14158572372.425636,3536770574.5793767,17695317856.931812
19,"           19             18             17             16
9.629e-28 x  - 9.633e-25 x  + 4.219e-22 x  - 1.038e-19 x 
             15             14             13             12
 + 1.48e-17 x  - 9.139e-16 x  - 8.217e-14 x  + 2.652e-11 x 
              11             10             9             8           7
 - 3.303e-09 x  + 2.627e-07 x  - 1.469e-05 x + 0.0005939 x - 0.01744 x
           6         5         4         3        2
 + 0.3672 x - 5.392 x + 52.67 x - 316.3 x + 1017 x - 1306 x + 214.3",0.800528957041549,14165587303.223816,3529703508.403489,17695317856.931812
20,"           20             19             18           17             16
2.832e-29 x  - 3.093e-26 x  + 1.502e-23 x  - 4.2e-21 x  + 7.161e-19 x 
              15             14             13             12
 - 6.593e-17 x  - 3.866e-16 x  + 1.108e-12 x  - 1.853e-10 x 
              11            10             9            8           7
 + 1.843e-08 x  - 1.28e-06 x  + 6.488e-05 x - 0.002431 x + 0.06695 x
         6         5         4         3        2
 - 1.33 x + 18.47 x - 170.3 x + 960.2 x - 2876 x + 3394 x - 461.5",0.8019909946309313,14191385827.204798,3503832288.540589,17695317856.931812
